id	isInvasive	habitat
126630	Invasive	Freshwater|Brackish
126631	Invasive	Freshwater
126632	Null	Terrestrial
126633	Null	Terrestrial
126634	Null	Terrestrial
126635	Invasive	Marine
126636	Null	Terrestrial
126637	Null	Terrestrial
126638	Null	Terrestrial
126639	Null	Terrestrial
126640	Null	Terrestrial|Freshwater
126641	Null	Freshwater
126642	Null	Freshwater|Brackish
126643	Null	Terrestrial
126644	Null	Terrestrial
126645	Null	Terrestrial
126646	Null	Terrestrial
126647	Null	Freshwater
126648	Null	Terrestrial
126649	Null	Marine
126650	Null	Terrestrial
126651	Null	Terrestrial
126652	Null	Freshwater
126653	Null	Terrestrial
126654	Null	Terrestrial
126655	Null	Marine
126656	Null	Terrestrial
126657	Null	Freshwater|Brackish
126658	Null	Terrestrial
126659	Null	Terrestrial
126660	Null	Terrestrial
126661	Null	Terrestrial
126662	Null	Terrestrial
126663	Null	Terrestrial|Freshwater
126664	Invasive	Freshwater|Brackish
126665	Null	Terrestrial
126666	Null	Freshwater
126667	Null	Terrestrial
126668	Null	Terrestrial
126669	Null	Terrestrial
126670	Null	Terrestrial
126671	Null	Terrestrial
126672	Null	Terrestrial
126673	Null	Terrestrial
126674	Null	Terrestrial
126675	Null	Terrestrial
126676	Null	Freshwater
126677	Null	Terrestrial
126678	Null	Terrestrial
126679	Null	Terrestrial
126680	Null	Terrestrial
126681	Null	Terrestrial
126682	Null	Terrestrial
126683	Null	Terrestrial|Freshwater
126684	Null	Terrestrial
126685	Null	Terrestrial
126686	Null	Terrestrial
126687	Null	Terrestrial
126688	Null	Terrestrial
126689	Null	Terrestrial
126690	Null	Terrestrial
126691	Null	Terrestrial
126692	Null	Terrestrial
126693	Null	Terrestrial
126694	Null	Terrestrial
126695	Null	Terrestrial
126696	Null	Terrestrial
126697	Null	Terrestrial
126698	Null	Terrestrial
126699	Null	Terrestrial
126700	Null	Terrestrial
126701	Null	Terrestrial
126702	Null	Freshwater|Brackish|Marine
126703	Null	Terrestrial
126704	Invasive	Freshwater|Brackish
126705	Null	Terrestrial
126706	Null	Terrestrial
126707	Invasive	Freshwater|Brackish|Marine
126708	Null	Terrestrial
126709	Null	Terrestrial
126710	Null	Terrestrial
126711	Null	Terrestrial
126712	Null	Terrestrial
126713	Null	Terrestrial
126714	Null	Terrestrial
126715	Null	Terrestrial
126716	Null	Freshwater
126717	Null	Terrestrial
126718	Null	Terrestrial
126719	Null	Terrestrial
126720	Null	Terrestrial
126721	Null	Terrestrial
126722	Null	Terrestrial
126723	Invasive	Terrestrial
126724	Invasive	Terrestrial|Freshwater
126725	Null	Terrestrial
126726	Null	Terrestrial|Freshwater
126727	Null	Terrestrial
126728	Null	Freshwater|Brackish
126729	Null	Freshwater
126730	Invasive	Freshwater|Brackish|Marine
126731	Null	Terrestrial
126732	Null	Terrestrial
126733	Null	Terrestrial
126734	Null	Terrestrial
126735	Null	Freshwater
126736	Null	Terrestrial
126737	Invasive	Terrestrial
126738	Null	Terrestrial
126739	Null	Terrestrial
126740	Null	Terrestrial
126741	Null	Terrestrial
126742	Null	Terrestrial
126743	Null	Terrestrial
126744	Null	Terrestrial
126745	Null	Terrestrial
126746	Null	Terrestrial
126747	Null	Terrestrial
126748	Null	Terrestrial
126749	Null	Terrestrial
126750	Null	Terrestrial
126751	Null	Terrestrial
126752	Null	Terrestrial
126753	Null	Terrestrial
126754	Null	Terrestrial
126755	Null	Terrestrial
126756	Null	Terrestrial|Freshwater
126757	Null	Freshwater|Brackish
126758	Null	Terrestrial
126759	Null	Terrestrial
126760	Null	Terrestrial
126761	Invasive	Terrestrial
126762	Null	Terrestrial
126763	Null	Terrestrial
126764	Null	Freshwater
126765	Null	Freshwater
126766	Null	Terrestrial
126767	Invasive	Terrestrial
126768	Null	Terrestrial
126769	Invasive	Terrestrial|Freshwater
126770	Null	Brackish|Marine
126771	Invasive	Brackish|Marine
126772	Null	Terrestrial
126773	Null	Terrestrial
126774	Null	Terrestrial
126775	Null	Terrestrial
126776	Null	Terrestrial
126777	Null	Marine
126778	Null	Terrestrial
126779	Null	Terrestrial
126780	Null	Terrestrial
126781	Null	Terrestrial
126782	Null	Terrestrial
126783	Null	Terrestrial
126784	Null	Terrestrial
126785	Null	Terrestrial
126786	Null	Terrestrial
126787	Null	Terrestrial
126788	Null	Terrestrial
126789	Null	Terrestrial
126790	Null	Terrestrial
126791	Null	Terrestrial
126792	Null	Terrestrial
126793	Null	Freshwater
126794	Invasive	Terrestrial
126795	Invasive	Terrestrial
126796	Null	Terrestrial
126797	Null	Terrestrial
126798	Null	Freshwater|Brackish
126799	Null	Terrestrial
126800	Null	Terrestrial
126801	Null	Terrestrial
126802	Null	Terrestrial
126803	Null	Terrestrial
126804	Null	Terrestrial
126805	Null	Terrestrial
126806	Null	Terrestrial
126807	Null	Marine
126808	Null	Terrestrial
126809	Null	Terrestrial
126810	Null	Terrestrial
126811	Null	Terrestrial
126812	Null	Terrestrial
126813	Null	Terrestrial
126814	Null	Terrestrial
126815	Null	Terrestrial
126816	Null	Terrestrial
126817	Invasive	Terrestrial
126818	Null	Freshwater|Brackish
126819	Invasive	Freshwater|Brackish
126820	Invasive	Freshwater|Brackish
126821	Null	Freshwater|Brackish
126822	Null	Terrestrial
126823	Null	Terrestrial
126824	Null	Freshwater|Brackish
126825	Null	Terrestrial
126826	Null	Terrestrial
126827	Invasive	Terrestrial
126828	Null	Terrestrial
126829	Null	Freshwater
126830	Null	Terrestrial
126831	Invasive	Freshwater
126832	Null	Terrestrial
126833	Null	Terrestrial
126834	Null	Terrestrial
126835	Null	Terrestrial
126836	Null	Terrestrial
126837	Null	Terrestrial
126838	Null	Terrestrial|Freshwater
126839	Null	Terrestrial
126840	Null	Terrestrial
126841	Null	Terrestrial
126842	Null	Terrestrial
126843	Null	Terrestrial
126844	Null	Terrestrial
126845	Null	Terrestrial
126846	Null	Terrestrial
126847	Null	Terrestrial
126848	Null	Terrestrial
126849	Null	Terrestrial
126850	Null	Terrestrial
126851	Invasive	Freshwater
126852	Null	Terrestrial
126853	Invasive	Terrestrial
126854	Null	Terrestrial
126855	Null	Terrestrial
126856	Invasive	Freshwater
126857	Null	Terrestrial
126858	Null	Terrestrial
126859	Null	Terrestrial
126860	Null	Terrestrial
126861	Null	Freshwater|Brackish|Marine
126862	Null	Freshwater|Brackish
126863	Null	Freshwater|Brackish
126864	Null	Terrestrial
126865	Null	Terrestrial
126866	Null	Terrestrial
126867	Invasive	Freshwater
126868	Null	Terrestrial
126869	Null	Terrestrial
126870	Null	Terrestrial
126871	Invasive	Freshwater|Brackish
126872	Null	Terrestrial
126873	Null	Terrestrial
126874	Null	Terrestrial
126875	Null	Terrestrial
126876	Invasive	Freshwater
126877	Invasive	Freshwater
126878	Null	Terrestrial
126879	Null	Freshwater
126880	Null	Freshwater
126881	Null	Terrestrial
126882	Null	Terrestrial
126883	Null	Terrestrial
126884	Null	Terrestrial
126885	Null	Terrestrial
126886	Null	Terrestrial
126887	Null	Terrestrial
126888	Null	Terrestrial
126889	Null	Terrestrial
126890	Null	Terrestrial
126891	Null	Terrestrial
126892	Invasive	Terrestrial|Freshwater
126893	Null	Terrestrial
126894	Null	Terrestrial
126895	Null	Terrestrial
126896	Null	Terrestrial
126897	Null	Terrestrial
126898	Null	Terrestrial
126899	Null	Terrestrial
126900	Invasive	Freshwater
126901	Null	Terrestrial
126902	Null	Freshwater|Brackish|Marine
126903	Null	Freshwater
126904	Null	Terrestrial
126905	Null	Terrestrial
126906	Null	Terrestrial
126907	Null	Terrestrial
126908	Null	Terrestrial
126909	Null	Terrestrial
126910	Null	Terrestrial
126911	Null	Terrestrial
126912	Null	Terrestrial
126913	Null	Terrestrial
126914	Null	Terrestrial
126915	Null	Terrestrial
126916	Null	Terrestrial
126917	Null	Terrestrial
126918	Null	Terrestrial
126919	Null	Terrestrial
126920	Null	Terrestrial
126921	Null	Terrestrial
126922	Null	Terrestrial
126923	Null	Terrestrial
126924	Null	Terrestrial
126925	Null	Terrestrial
126926	Null	Terrestrial
126927	Null	Terrestrial
126928	Null	Terrestrial
126929	Null	Terrestrial
126930	Null	Terrestrial
126931	Null	Terrestrial
126932	Null	Terrestrial|Freshwater
126933	Null	Terrestrial
126934	Null	Terrestrial
126935	Null	Freshwater
126936	Null	Freshwater
126937	Null	Freshwater
126938	Null	Terrestrial
126939	Null	Terrestrial
126940	Null	Terrestrial
126941	Null	Terrestrial
126942	Null	Terrestrial
126943	Null	Terrestrial
126944	Null	Terrestrial
126945	Null	Terrestrial
126946	Null	Terrestrial
126947	Null	Terrestrial
126948	Null	Terrestrial
126949	Null	Terrestrial
126950	Null	Terrestrial
126951	Null	Terrestrial
126952	Null	Terrestrial
