id	locationID	countryCode	occurrenceStatus	establishmentMeans
126635	Philippines	PH	Present	Alien
126636	Philippines	PH	Present	Alien
126637	Philippines	PH	Present	Alien
126638	Philippines	PH	Present	Alien
126639	Philippines	PH	Present	Alien
126640	Philippines	PH	Present	Alien
126641	Philippines	PH	Present	Alien
126642	Philippines	PH	Present	Alien
126643	Philippines	PH	Present	Alien
126644	Philippines	PH	Present	Alien
126645	Philippines	PH	Present	Alien
126646	Philippines	PH	Present	Alien
126647	Philippines	PH	Present	Alien
126648	Philippines	PH	Present	Alien
126649	Philippines	PH	Present	Alien
126650	Philippines	PH	Present	Alien
126651	Philippines	PH	Present	Alien
126652	Philippines	PH	Present	Alien
126653	Philippines	PH	Present	Alien
126654	Philippines	PH	Present	Alien
126655	Philippines	PH	Present	Alien
126656	Philippines	PH	Present	Alien
126657	Philippines	PH	Present	Alien
126658	Philippines	PH	Present	Alien
126659	Philippines	PH	Present	Alien
126660	Philippines	PH	Present	Alien
126661	Philippines	PH	Present	Alien
126662	Philippines	PH	Present	Alien
126663	Philippines	PH	Present	Alien
126664	Philippines	PH	Present	Alien
126665	Philippines	PH	Present	Alien
126666	Philippines	PH	Present	Alien
126667	Philippines	PH	Present	Alien
126668	Philippines	PH	Present	Alien
126669	Philippines	PH	Present	Alien
126670	Philippines	PH	Present	Alien
126671	Philippines	PH	Present	Alien
126672	Philippines	PH	Present	Alien
126673	Philippines	PH	Present	Alien
126674	Philippines	PH	Present	Alien
126675	Philippines	PH	Present	Alien
126676	Philippines	PH	Present	Alien
126677	Philippines	PH	Present	Alien
126678	Philippines	PH	Present	Alien
126679	Philippines	PH	Present	Alien
126680	Philippines	PH	Present	Alien
126681	Philippines	PH	Present	Alien
126682	Philippines	PH	Present	Alien
126683	Philippines	PH	Present	Alien
126684	Philippines	PH	Present	Alien
126685	Philippines	PH	Present	Alien
126686	Philippines	PH	Present	Alien
126687	Philippines	PH	Present	Alien
126688	Philippines	PH	Present	Alien
126689	Philippines	PH	Present	Alien
126690	Philippines	PH	Present	Alien
126691	Philippines	PH	Present	Alien
126692	Philippines	PH	Present	Alien
126693	Philippines	PH	Present	Alien
126694	Philippines	PH	Present	Alien
126695	Philippines	PH	Present	Alien
126696	Philippines	PH	Present	Alien
126697	Philippines	PH	Present	Alien
126698	Philippines	PH	Present	Alien
126699	Philippines	PH	Present	Alien
126700	Philippines	PH	Present	Alien
126701	Philippines	PH	Present	Alien
126702	Philippines	PH	Present	Alien
126703	Philippines	PH	Present	Alien
126704	Philippines	PH	Present	Alien
126705	Philippines	PH	Present	Alien
126706	Philippines	PH	Present	Alien
126707	Philippines	PH	Present	Native|Alien
126708	Philippines	PH	Present	Alien
126709	Philippines	PH	Present	Alien
126710	Philippines	PH	Present	Alien
126711	Philippines	PH	Present	Alien
126712	Philippines	PH	Present	Alien
126713	Philippines	PH	Present	Alien
126714	Philippines	PH	Present	Alien
126715	Philippines	PH	Present	Alien
126716	Philippines	PH	Present	Alien
126717	Philippines	PH	Present	Alien
126718	Philippines	PH	Present	Alien
126719	Philippines	PH	Present	Alien
126720	Philippines	PH	Present	Alien
126721	Philippines	PH	Present	Alien
126722	Philippines	PH	Present	Alien
126723	Philippines	PH	Present	Alien
126724	Philippines	PH	Present	Alien
126725	Philippines	PH	Present	Alien
126726	Philippines	PH	Present	Native|Alien
126727	Philippines	PH	Present	Alien
126728	Philippines	PH	Present	Alien
126729	Philippines	PH	Present	Alien
126730	Philippines	PH	Present	Native|Alien
126731	Philippines	PH	Present	Alien
126732	Philippines	PH	Present	Alien
126733	Philippines	PH	Present	Alien
126734	Philippines	PH	Present	Alien
126735	Philippines	PH	Present	Cryptogenic|Uncertain
126736	Philippines	PH	Present	Alien
126737	Philippines	PH	Present	Alien
126738	Philippines	PH	Present	Alien
126739	Philippines	PH	Present	Alien
126740	Philippines	PH	Present	Alien
126741	Philippines	PH	Present	Alien
126742	Philippines	PH	Present	Alien
126743	Philippines	PH	Present	Alien
126744	Philippines	PH	Present	Alien
126745	Philippines	PH	Present	Alien
126746	Philippines	PH	Present	Alien
126747	Philippines	PH	Present	Alien
126748	Philippines	PH	Present	Alien
126749	Philippines	PH	Present	Alien
126750	Philippines	PH	Present	Alien
126751	Philippines	PH	Present	Alien
126752	Philippines	PH	Present	Alien
126753	Philippines	PH	Present	Alien
126754	Philippines	PH	Present	Alien
126755	Philippines	PH	Present	Alien
126756	Philippines	PH	Present	Alien
126757	Philippines	PH	Present	Alien
126758	Philippines	PH	Present	Alien
126759	Philippines	PH	Present	Alien
126760	Philippines	PH	Present	Alien
126761	Philippines	PH	Present	Alien
126762	Philippines	PH	Present	Alien
126763	Philippines	PH	Present	Alien
126764	Philippines	PH	Present	Alien
126765	Philippines	PH	Present	Alien
126766	Philippines	PH	Present	Alien
126767	Philippines	PH	Present	Alien
126768	Philippines	PH	Present	Alien
126769	Philippines	PH	Present	Alien
126770	Philippines	PH	Present	Alien
126771	Philippines	PH	Present	Alien
126772	Philippines	PH	Present	Alien
126773	Philippines	PH	Present	Alien
126774	Philippines	PH	Present	Alien
126775	Philippines	PH	Present	Alien
126776	Philippines	PH	Present	Alien
126777	Philippines	PH	Present	Alien
126778	Philippines	PH	Present	Alien
126779	Philippines	PH	Present	Alien
126780	Philippines	PH	Present	Alien
126781	Philippines	PH	Present	Alien
126782	Philippines	PH	Present	Alien
126783	Philippines	PH	Present	Alien
126784	Philippines	PH	Present	Alien
126785	Philippines	PH	Present	Alien
126786	Philippines	PH	Present	Alien
126787	Philippines	PH	Present	Alien
126788	Philippines	PH	Present	Alien
126789	Philippines	PH	Present	Alien
126790	Philippines	PH	Present	Alien
126791	Philippines	PH	Present	Alien
126792	Philippines	PH	Present	Alien
126793	Philippines	PH	Present	Alien
126794	Philippines	PH	Present	Alien
126795	Philippines	PH	Present	Alien
126796	Philippines	PH	Present	Alien
126797	Philippines	PH	Present	Alien
126798	Philippines	PH	Present	Alien
126799	Philippines	PH	Present	Alien
126800	Philippines	PH	Present	Alien
126801	Philippines	PH	Present	Alien
126802	Philippines	PH	Present	Alien
126803	Philippines	PH	Present	Alien
126804	Philippines	PH	Present	Alien
126805	Philippines	PH	Present	Alien
126806	Philippines	PH	Present	Alien
126807	Philippines	PH	Present	Alien
126808	Philippines	PH	Present	Cryptogenic|Uncertain
126809	Philippines	PH	Present	Alien
126810	Philippines	PH	Present	Alien
126811	Philippines	PH	Present	Alien
126812	Philippines	PH	Present	Alien
126813	Philippines	PH	Present	Alien
126814	Philippines	PH	Present	Alien
126815	Philippines	PH	Present	Alien
126816	Philippines	PH	Present	Alien
126817	Philippines	PH	Present	Alien
126818	Philippines	PH	Present	Alien
126819	Philippines	PH	Present	Alien
126820	Philippines	PH	Present	Alien
126821	Philippines	PH	Present	Alien
126822	Philippines	PH	Present	Alien
126823	Philippines	PH	Present	Alien
126824	Philippines	PH	Present	Alien
126825	Philippines	PH	Present	Alien
126826	Philippines	PH	Present	Alien
126827	Philippines	PH	Present	Alien
126828	Philippines	PH	Present	Alien
126829	Philippines	PH	Present	Alien
126830	Philippines	PH	Present	Alien
126831	Philippines	PH	Present	Alien
126832	Philippines	PH	Present	Alien
126833	Philippines	PH	Present	Alien
126834	Philippines	PH	Present	Alien
126835	Philippines	PH	Present	Alien
126836	Philippines	PH	Present	Alien
126837	Philippines	PH	Present	Alien
126838	Philippines	PH	Present	Alien
126839	Philippines	PH	Present	Alien
126840	Philippines	PH	Present	Alien
126841	Philippines	PH	Present	Alien
126842	Philippines	PH	Present	Alien
126843	Philippines	PH	Present	Alien
126844	Philippines	PH	Present	Alien
126845	Philippines	PH	Present	Alien
126846	Philippines	PH	Present	Alien
126847	Philippines	PH	Present	Alien
126848	Philippines	PH	Present	Alien
126849	Philippines	PH	Present	Alien
126850	Philippines	PH	Present	Alien
126851	Philippines	PH	Present	Alien
126852	Philippines	PH	Present	Alien
126853	Philippines	PH	Present	Alien
126854	Philippines	PH	Present	Alien
126855	Philippines	PH	Present	Alien
126856	Philippines	PH	Present	Alien
126857	Philippines	PH	Present	Alien
126858	Philippines	PH	Present	Alien
126859	Philippines	PH	Present	Alien
126860	Philippines	PH	Present	Alien
126861	Philippines	PH	Present	Alien
126862	Philippines	PH	Present	Alien
126863	Philippines	PH	Present	Alien
126864	Philippines	PH	Present	Alien
126865	Philippines	PH	Present	Alien
126866	Philippines	PH	Present	Alien
126867	Philippines	PH	Present	Alien
126868	Philippines	PH	Present	Alien
126869	Philippines	PH	Present	Alien
126870	Philippines	PH	Present	Cryptogenic|Uncertain
126871	Philippines	PH	Present	Alien
126872	Philippines	PH	Present	Alien
126873	Philippines	PH	Present	Alien
126874	Philippines	PH	Present	Alien
126875	Philippines	PH	Present	Alien
126876	Philippines	PH	Present	Alien
126877	Philippines	PH	Present	Alien
126878	Philippines	PH	Present	Alien
126879	Philippines	PH	Present	Alien
126880	Philippines	PH	Present	Alien
126881	Philippines	PH	Present	Alien
126882	Philippines	PH	Present	Alien
126883	Philippines	PH	Present	Alien
126884	Philippines	PH	Present	Alien
126885	Philippines	PH	Present	Alien
126886	Philippines	PH	Present	Alien
126887	Philippines	PH	Present	Native|Alien
126888	Philippines	PH	Present	Alien
126889	Philippines	PH	Present	Alien
126890	Philippines	PH	Present	Alien
126891	Philippines	PH	Present	Alien
126892	Philippines	PH	Present	Alien
126893	Philippines	PH	Present	Alien
126894	Philippines	PH	Present	Alien
126895	Philippines	PH	Present	Alien
126896	Philippines	PH	Present	Alien
126897	Philippines	PH	Present	Alien
126898	Philippines	PH	Present	Alien
126899	Philippines	PH	Present	Alien
126900	Philippines	PH	Present	Alien
126901	Philippines	PH	Present	Alien
126902	Philippines	PH	Present	Alien
126903	Philippines	PH	Present	Alien
126904	Philippines	PH	Present	Alien
126905	Philippines	PH	Present	Alien
126906	Philippines	PH	Present	Alien
126907	Philippines	PH	Present	Alien
126908	Philippines	PH	Present	Alien
126909	Philippines	PH	Present	Alien
126910	Philippines	PH	Present	Alien
126911	Philippines	PH	Present	Alien
126912	Philippines	PH	Present	Alien
126913	Philippines	PH	Present	Alien
126914	Philippines	PH	Present	Alien
126915	Philippines	PH	Present	Alien
126916	Philippines	PH	Present	Alien
126917	Philippines	PH	Present	Alien
126918	Philippines	PH	Present	Alien
126919	Philippines	PH	Present	Alien
126920	Philippines	PH	Present	Alien
126921	Philippines	PH	Present	Alien
126922	Philippines	PH	Present	Alien
126923	Philippines	PH	Present	Alien
126924	Philippines	PH	Present	Alien
126925	Philippines	PH	Present	Alien
126926	Philippines	PH	Present	Alien
126927	Philippines	PH	Present	Alien
126928	Philippines	PH	Present	Alien
126929	Philippines	PH	Present	Alien
126930	Philippines	PH	Present	Alien
126931	Philippines	PH	Present	Alien
126932	Philippines	PH	Present	Alien
126933	Philippines	PH	Present	Alien
126934	Philippines	PH	Present	Alien
126935	Philippines	PH	Present	Alien
126936	Philippines	PH	Present	Alien
126937	Philippines	PH	Present	Alien
126938	Philippines	PH	Present	Alien
126939	Philippines	PH	Present	Alien
126940	Philippines	PH	Present	Alien
126941	Philippines	PH	Present	Alien
126942	Philippines	PH	Present	Alien
126943	Philippines	PH	Present	Alien
126944	Philippines	PH	Present	Alien
126945	Philippines	PH	Present	Alien
126946	Philippines	PH	Present	Alien
126947	Philippines	PH	Present	Alien
126948	Philippines	PH	Present	Alien
126949	Philippines	PH	Present	Alien
126950	Philippines	PH	Present	Alien
126951	Philippines	PH	Present	Alien
126952	Philippines	PH	Present	Alien
